מילה,Predict,score,אחוז ניבוי,התחלה,סיום,משך,דובר,Predict_numeric,בעייתית
בוקר.,0.007,0.007,0.7,00:00,00:00,0.34,SPEAKER_01,0.007,False
אני,0.031,0.031,3.1,00:01,00:01,0.06,SPEAKER_00,0.031,False
לפני,0.047,0.047,4.7,00:01,00:01,0.16,SPEAKER_00,0.047,False
השבוע,0.086,0.086,8.6,00:01,00:01,0.26,SPEAKER_00,0.086,False
חשיתי,0.05,0.05,5.0,00:02,00:02,0.1,SPEAKER_00,0.05,False
דרך,0.005,0.005,0.5,00:02,00:02,0.06,SPEAKER_00,0.005,False
האתר,0.046,0.046,4.6,00:02,00:03,0.64,SPEAKER_00,0.046,False
שינוי,0.043,0.043,4.3,00:03,00:03,0.18,SPEAKER_01,0.043,False
"משלם,",0.019,0.019,1.9,00:03,00:03,0.28,SPEAKER_01,0.019,False
ורציתי,0.084,0.084,8.4,00:03,00:04,0.2,SPEAKER_01,0.084,False
מה,0.003,0.003,0.3,00:04,00:05,0.34,SPEAKER_01,0.003,False
לדעת,0.003,0.003,0.3,00:04,00:04,0.5,SPEAKER_01,0.003,False
הסטטוס,0.017,0.017,1.7,00:05,00:06,0.36,SPEAKER_01,0.017,False
של,0.026,0.026,2.6,00:06,00:06,0.34,SPEAKER_01,0.026,False
"זה,",0.052,0.052,5.2,00:06,00:07,0.06,SPEAKER_01,0.052,False
כי,0.014,0.014,1.4,00:07,00:07,0.44,SPEAKER_01,0.014,False
אמרו,0.016,0.016,1.6,00:09,00:10,1.02,SPEAKER_01,0.016,False
ארבעה,0.031,0.031,3.1,00:11,00:12,1.58,SPEAKER_01,0.031,False
ימים,0.008,0.008,0.8,00:12,00:13,0.34,SPEAKER_01,0.008,False
ולא,0.039,0.039,3.9,00:13,00:14,0.3,SPEAKER_01,0.039,False
קיבלתי,0.028,0.028,2.8,00:14,00:15,0.24,SPEAKER_01,0.028,False
תקוץ.,0.019,0.019,1.9,00:15,00:16,0.28,SPEAKER_01,0.019,False
שום,0.044,0.044,4.4,00:15,00:15,0.28,SPEAKER_01,0.044,False
"אוקיי,",0.125,0.125,12.5,00:18,00:18,0.26,SPEAKER_00,0.125,False
בשמחה.,0.129,0.129,12.9,00:18,00:19,0.5,SPEAKER_00,0.129,False
אני,0.301,0.301,30.1,00:19,00:19,0.12,SPEAKER_00,0.301,False
רואה,0.211,0.211,21.1,00:19,00:19,0.2,SPEAKER_00,0.211,False
ששלחת...,0.058,0.058,5.8,00:20,00:20,0.78,SPEAKER_00,0.058,False
מיהו,0.056,0.056,5.6,00:21,00:21,0.5,SPEAKER_00,0.056,False
משהו?,0.078,0.078,7.8,00:21,00:22,0.7,SPEAKER_01,0.078,False
"אותה,",0.167,0.167,16.7,00:23,00:23,0.14,SPEAKER_00,0.167,False
נכון.,0.04,0.04,4.0,00:23,00:24,0.2,SPEAKER_00,0.04,False
יש,0.169,0.169,16.9,00:23,00:23,0.16,SPEAKER_00,0.169,False
לי,0.046,0.046,4.6,00:23,00:23,0.06,SPEAKER_00,0.046,False
"כן,",0.207,0.207,20.7,00:27,00:28,0.22,לא ידוע,0.207,False
אז,0.169,0.169,16.9,00:28,00:28,0.1,SPEAKER_00,0.169,False
אני,0.654,0.654,65.4,00:28,00:28,0.1,SPEAKER_00,0.654,False
רואה,0.408,0.408,40.8,00:28,00:28,0.2,SPEAKER_00,0.408,False
שהגשת,0.08,0.08,8.0,00:28,00:28,0.2,SPEAKER_00,0.08,False
את,0.026,0.026,2.6,00:28,00:28,0.1,SPEAKER_00,0.026,False
הפנייה,0.142,0.142,14.2,00:29,00:29,0.24,SPEAKER_00,0.142,False
ברביל,0.117,0.117,11.7,00:29,00:29,0.58,SPEAKER_00,0.117,False
היא,0.052,0.052,5.2,00:30,00:30,0.76,SPEAKER_00,0.052,False
